ID,sex,race,eyes
A00147,Male,White,Blue
A00360,Male,White,Green
A00367,Male,Dark,Dark
A01054,Male,Dark,Dark
A01072,Male,Dark,Dark
A01077,Male,Dark,Dark
A01148,Male,Dark,Dark
A01157,Male,Dark,Dark
A01181,Male,Dark,Dark
A01237,Male,Dark,Dark
A01258,Male,Dark,Dark
A01285,Male,Dark,Dark
A01349,Male,Dark,Dark
A01356,Male,Dark,Dark
A01365,Male,Dark,Dark
A01399,Male,Dark,Dark
A01411,Male,Dark,Dark
A01422,Male,Dark,Dark
A01457,Male,Dark,Dark
A01467,Male,Dark,Dark
A01531,Male,Dark,Dark
A01615,Male,Dark,Dark
A01676,Male,Dark,Dark
A01680,Male,Dark,Dark
A01681,Male,Dark,Dark
A01694,Male,Dark,Dark
A01729,Male,Dark,Dark
A01736,Male,Dark,Dark
A01759,Male,Dark,Dark
A01796,Male,White,Dark
A01806,Male,Dark,Dark
A01815,Male,Dark,Dark
A01824,Male,Dark,Dark
A01834,Male,Dark,Dark
A01860,Male,White,Dark
A01889,Male,Dark,Dark
A01906,Male,Dark,Dark
A01909,Male,Dark,Dark
A01929,Male,Dark,Dark
A01939,Male,Dark,Dark
A01950,Male,Dark,Dark
A01958,Male,Dark,Dark
A01990,Male,Dark,Gray
A01996,Male,Dark,Dark
A02005,Male,Dark,Dark
A02008,Male,Dark,Dark
A02049,Male,Dark,Dark
A02074,Male,Dark,Dark
A02077,Male,Dark,Dark
A02079,Male,Dark,Dark
A02088,Male,Dark,Dark
A02099,Male,Dark,Dark
A02133,Male,Dark,Dark
A02232,Male,Dark,Dark
A02244,Male,Dark,Dark
A02270,Male,Dark,Dark
A02306,Male,Dark,Dark
A02312,Male,Dark,Dark
A02350,Male,Dark,Dark
A02376,Male,Dark,Dark
A02436,Male,Dark,Dark
A06045,Male,Dark,Dark
A06264,Male,Dark,Dark
A06342,Male,Dark,Dark
A08064,Male,Dark,Dark
A08086,Male,White,Dark
A08095,Male,Dark,Dark
A08141,Male,Dark,Dark
A08225,Male,White,Blue
A08230,Male,White,Blue
A08240,Male,White,Hazel
A08307,Male,White,Hazel
A10002,Male,Dark,Dark
A10008,Male,Dark,Dark
A10037,Male,Dark,Dark
A10133,Male,White,Blue
A10157,Male,Dark,Dark
A10165,Male,Dark,Dark
A10203,Male,Dark,Dark
A10300,Male,White,Green
A10307,Male,Dark,Dark
A10309,Male,Dark,Dark
A10388,Male,Dark,Dark
A10397,Male,Dark,Dark
A10398,Male,White,Blue
A10410,Male,Dark,Dark
A10413,Male,Dark,Dark
A10447,Male,White,Dark
A10459,Male,White,Dark
A10465,Male,White,Dark
A10480,Male,Dark,Dark
A10487,Male,White,Blue
A10506,Male,Dark,Dark
A10508,Male,Dark,Dark
A10510,Male,Dark,Dark
A10514,Male,Dark,Dark
A10574,Male,White,Blue
A10582,Male,Dark,Dark
A10628,Male,White,Dark
A10654,Male,White,Dark
A10656,Male,White,Dark
A10695,Male,Dark,Dark
A10763,Male,Dark,Dark
A10859,Male,White,Gray
A10883,Male,Dark,Dark
A10913,Male,Dark,Dark
A10935,Male,White,Dark
A10936,Male,Dark,Dark
A10938,Male,Dark,Dark
A10939,Male,Dark,Dark
A10940,Male,Dark,Dark
A10951,Male,Dark,Dark
A10970,Male,Dark,Dark
A11005,Male,Dark,Dark
A11030,Male,White,Green
A11128,Male,White,Dark
A15031,Male,Dark,Dark
A15096,Male,Dark,Dark
A15110,Male,Dark,Dark
A15155,Male,Dark,Dark
A15167,Male,Dark,Dark
A15172,Male,Dark,Dark
A15182,Male,Dark,Dark
A15205,Male,Dark,Dark
A15210,Male,Hispanic,Dark
A15211,Male,Dark,Dark
A15212,Male,White,Dark
A15243,Male,Dark,Dark
A15306,Male,Dark,Dark
A15324,Male,Dark,Dark
A15336,Male,Dark,Dark
A15347,Male,Dark,Dark
A15380,Male,Dark,Dark
A15385,Male,Dark,Dark
A15421,Male,Dark,Dark
A15423,Male,Dark,Dark
A15491,Male,Dark,Dark
A15497,Male,Dark,Dark
A15561,Male,Dark,Dark
A15580,Male,Dark,Dark
A15590,Male,Dark,Dark
A15602,Male,Dark,Dark
A15612,Male,Dark,Dark
A15639,Male,White,Dark
A15644,Male,Dark,Dark
A15655,Male,Dark,Dark
A15657,Male,White,Hazel
A15702,Male,Dark,Dark
A15776,Male,Dark,Dark
A15810,Male,Dark,Dark
A15828,Male,Dark,Dark
A15829,Male,Dark,Dark
A15834,Male,Dark,Dark
A15856,Male,White,Blue
A20093,Male,Dark,Dark
A20097,Male,Dark,Dark
A25050,Male,Dark,Dark
A25088,Male,Dark,Dark
A25100,Male,Dark,Dark
A25160,Male,Dark,Dark
A25186,Male,Dark,Dark
A25193,Male,White,Blue
A26050,Female,Dark,Dark
A50005,Male,Dark,Dark
A50013,Male,Dark,Dark
A50089,Male,Dark,Dark
A50119,Male,Dark,Dark
A50173,Male,Dark,Dark
A50191,Male,White,Dark
A50207,Male,White,Hazel
A50229,Male,White,Hazel
A50273,Male,Hispanic,Dark
A50321,Male,Dark,Dark
A50324,Male,Dark,Dark
A50330,Male,Dark,Dark
A50367,Male,White,Green
A50446,Male,Dark,Dark
A50517,Male,Dark,Maroon
A50585,Male,Dark,Dark
A50669,Male,Dark,Dark
A50676,Male,Dark,Dark
A50692,Male,White,Blue
A50716,Male,Dark,Dark
A50773,Male,Dark,Dark
A50779,Male,Dark,Dark
A50844,Male,Dark,Dark
A50947,Male,Dark,Dark
A50955,Male,Dark,Dark
A50993,Male,Dark,Dark
A51054,Male,Dark,Dark
A51082,Male,Dark,Dark
A51149,Male,White,Blue
A51174,Male,Dark,Dark
A51196,Male,White,Dark
A51233,Male,Hispanic,Dark
A51236,Male,Dark,Dark
A51240,Male,Dark,Dark
A51322,Male,Dark,Dark
A51344,Male,Dark,Dark
A51368,Male,Dark,Dark
A51372,Male,Dark,Dark
A51378,Male,Dark,Dark
A56009,Male,White,Dark
A56059,Male,White,Blue
A56081,Male,Dark,Dark
A56106,Male,White,Blue
A56131,Male,White,Blue
A56136,Male,White,Blue
A57708,Male,Dark,Dark
A57711,Male,Dark,Dark
A57980,Male,Dark,Dark
A60034,Male,Dark,Dark
A60077,Male,Dark,Dark
A60096,Male,Dark,Dark
A60121,Male,Dark,Dark
A60138,Male,Dark,Dark
A60145,Male,Dark,Dark
A60152,Male,Dark,Dark
A60158,Male,Dark,Dark
A60166,Male,Dark,Dark
A60185,Male,White,Hazel
A60203,Male,Dark,Dark
A60218,Male,White,Dark
A60224,Male,White,Dark
A60247,Male,Dark,Dark
A60264,Male,Dark,Dark
A60269,Male,Dark,Dark
A60334,Male,Dark,Dark
A60338,Male,Dark,Dark
A60349,Male,Dark,Dark
A60369,Male,Dark,Dark
A60441,Male,Dark,Dark
A60451,Male,Dark,Dark
A60478,Male,Hispanic,Dark
A60491,Male,White,Hazel
A60514,Male,Dark,Dark
A60700,Male,Dark,Dark
A60767,Male,White,Dark
A60810,Male,Dark,Dark
A60835,Male,Dark,Dark
A60862,Male,White,Dark
A60879,Male,Dark,Dark
A60881,Male,Dark,Dark
A60925,Male,Dark,Dark
A60952,Male,Dark,Dark
A60972,Male,Dark,Dark
A61010,Male,Dark,Dark
A61038,Male,Dark,Dark
A61070,Male,White,Dark
A61104,Male,White,Green
A61136,Male,White,Dark
A61175,Male,Hispanic,Dark
A61187,Male,Dark,Dark
A61191,Male,White,Blue
A61248,Male,Dark,Dark
A61254,Male,Dark,Dark
A61270,Male,Dark,Dark
A61441,Male,Dark,Dark
A61492,Male,Dark,Dark
A61541,Male,Dark,Dark
A61543,Male,Dark,Dark
A61589,Male,White,Dark
A61629,Male,Dark,Dark
A61667,Male,Dark,Dark
A61683,Male,Dark,Dark
A61697,Male,Dark,Dark
A61719,Male,Dark,Dark
A61721,Male,Dark,Dark
A61897,Male,Dark,Dark
A61982,Male,Dark,Dark
A62093,Male,Dark,Dark
A62143,Male,Dark,Dark
A62145,Male,Dark,Dark
A62152,Male,Dark,Dark
A62183,Male,White,Blue
A62222,Male,Dark,Dark
A62260,Male,White,Dark
A62278,Male,Dark,Dark
A62372,Male,Dark,Dark
A62475,Male,Dark,Dark
A62508,Male,Dark,Dark
A62511,Male,Dark,Dark
A62585,Male,Dark,Dark
A62613,Male,Dark,Dark
A62670,Male,Dark,Dark
A62674,Male,Dark,Dark
A62676,Male,Dark,Dark
A62696,Male,Dark,Dark
A62709,Male,Dark,Dark
A62835,Male,White,Green
A62838,Male,White,Hazel
A62907,Male,White,Blue
A63018,Male,Dark,Dark
A63055,Male,White,Green
A63057,Male,Dark,Dark
A63074,Male,Dark,Dark
A63079,Male,Dark,Dark
A63110,Male,Dark,Dark
A63227,Male,Dark,Dark
A63302,Male,Dark,Dark
A63323,Male,Dark,Dark
A63335,Male,Dark,Dark
A63412,Male,Dark,Dark
A63416,Male,Dark,Dark
A63465,Male,Dark,Dark
A63522,Male,Dark,Dark
A63557,Male,Dark,Dark
A63589,Male,Dark,Dark
A63633,Male,Dark,Dark
A63684,Male,Dark,Dark
A63742,Male,Dark,Dark
A63871,Male,Dark,Dark
A63882,Male,Dark,Dark
A63900,Male,Dark,Dark
A63927,Male,Dark,Dark
A64002,Male,Dark,Dark
A64004,Male,Dark,Dark
A64023,Male,Dark,Dark
A64030,Male,Hispanic,Dark
A64086,Male,Dark,Dark
A64188,Male,Dark,Dark
A64206,Male,Dark,Dark
A64229,Male,Dark,Dark
A64235,Male,Dark,Dark
A64246,Male,Dark,Dark
A64284,Male,Dark,Dark
A64313,Male,Dark,Dark
A64333,Male,Dark,Dark
A64349,Male,Dark,Dark
A64363,Male,Dark,Dark
A66045,Male,Dark,Dark
A66171,Male,Dark,Dark
A66229,Male,White,Blue
A66267,Male,Dark,Dark
A66271,Male,White,Hazel
A66320,Male,White,Hazel
A66400,Male,White,Green
A66460,Male,Dark,Dark
A66464,Male,Dark,Dark
A66488,Male,White,Blue
A66507,Male,Dark,Dark
A67856,Male,White,Dark
A67942,Male,White,Green
A68069,Male,Dark,Dark
A68106,Male,Dark,Dark
A68230,Male,Dark,Dark
A68344,Male,Dark,Dark
A68363,Male,White,Dark
A68398,Male,Dark,Dark
A68418,Male,White,Blue
A68566,Male,White,Green
A68643,Male,Dark,Dark
A68647,Male,White,Green
A68718,Male,Dark,Dark
A68728,Male,White,Dark
A68809,Male,White,Dark
A68864,Male,Dark,Dark
A68998,Male,White,Dark
A69036,Male,Dark,Dark
A69051,Male,White,Dark
A69085,Male,Dark,Dark
A70164,Male,Dark,Dark
A70170,Male,Dark,Dark
A70187,Male,Dark,Dark
A70206,Male,Dark,Dark
A70208,Male,Dark,Dark
A70223,Male,White,Blue
A70269,Male,Dark,Dark
A70296,Male,White,Blue
A70343,Male,Dark,Dark
A70453,Male,Dark,Green
A70454,Male,Dark,Dark
A70470,Male,Dark,Dark
A70481,Male,Dark,Dark
A70554,Male,Dark,Dark
A70562,Male,Dark,Dark
A70571,Male,Dark,Dark
A70618,Male,Dark,Dark
A70631,Male,Dark,Dark
A70646,Male,Dark,Dark
A70703,Male,Dark,Dark
A70723,Male,Dark,Dark
A70764,Male,Dark,Dark
A70777,Male,White,Dark
A70866,Male,Dark,Dark
A70869,Male,White,Blue
A70889,Male,Dark,Dark
A70902,Male,Dark,Dark
A70905,Male,Dark,Dark
A70975,Male,Dark,Dark
A70978,Male,Dark,Dark
A70983,Male,Dark,Dark
A70990,Male,Dark,Dark
A70998,Male,Dark,Dark
A71033,Male,Dark,Dark
A71068,Male,Dark,Dark
A71082,Male,Dark,Dark
A71170,Male,Dark,Dark
A71250,Male,White,Dark
A71259,Male,Dark,Dark
A71264,Male,Dark,Dark
A71350,Male,Dark,Dark
A71362,Male,Dark,Dark
A71429,Male,Dark,Dark
A71437,Male,Dark,Dark
A71467,Male,Dark,Dark
A71517,Male,Dark,Dark
A71530,Male,Dark,Dark
A71537,Male,Dark,Dark
A71641,Male,Dark,Dark
A71662,Male,Dark,Dark
A71709,Male,Dark,Dark
A71724,Male,Dark,Dark
A71739,Male,Dark,Dark
A71810,Male,Dark,Dark
A71812,Male,Dark,Dark
A71818,Male,White,Dark
A71904,Male,Dark,Dark
A71978,Male,Dark,Dark
A72030,Male,Dark,Dark
A72037,Male,Dark,Dark
A72063,Male,Dark,Dark
A72077,Male,Dark,Dark
A72086,Male,Dark,Dark
A72098,Male,Dark,Dark
A72103,Male,Dark,Dark
A72120,Male,Dark,Dark
A72149,Male,Dark,Dark
A72159,Male,Dark,Dark
A72194,Male,Dark,Dark
A72308,Male,Dark,Dark
A72335,Male,Dark,Dark
A72502,Male,Dark,Dark
A72503,Male,Dark,Dark
A72531,Male,Hispanic,Dark
A72590,Male,Dark,Dark
A72640,Male,Dark,Dark
A72649,Male,Dark,Dark
A72655,Male,Dark,Dark
A72676,Male,Dark,Dark
A72823,Male,Dark,Dark
A72830,Male,Dark,Dark
A72922,Male,Dark,Dark
A72965,Male,Dark,Dark
A73023,Male,Dark,Dark
A73059,Male,Dark,Dark
A73078,Male,Dark,Dark
A73099,Male,Dark,Dark
A73184,Male,Dark,Dark
A73193,Male,Dark,Dark
A73327,Male,Dark,Dark
A73335,Male,Dark,Dark
A73403,Male,Dark,Dark
A73437,Male,Dark,Dark
A73452,Male,White,Hazel
A73489,Male,Dark,Dark
A73498,Male,Dark,Dark
A73504,Male,Dark,Dark
A73555,Male,White,Blue
A73587,Male,Dark,Dark
A73626,Male,White,Blue
A73639,Male,White,Hazel
A73673,Male,Dark,Dark
A73679,Male,White,Dark
A73734,Male,White,Blue
A73738,Male,Dark,Dark
A73756,Male,White,Blue
A73764,Male,Dark,Dark
A73769,Male,White,Dark
A73818,Male,Dark,Dark
A73846,Male,White,Blue
A73865,Male,Dark,Dark
A73943,Male,White,Hazel
A74022,Male,Hispanic,Dark
A74048,Male,Dark,Dark
A74099,Male,Dark,Dark
A74128,Male,Dark,Dark
A74131,Male,Dark,Dark
A74143,Male,Dark,Dark
A74146,Male,Dark,Dark
A74207,Male,Dark,Dark
A74220,Male,White,Blue
A76000,Male,White,Blue
A76082,Male,Dark,Dark
A76086,Male,Dark,Dark
A76117,Male,Dark,Dark
A76118,Male,Dark,Dark
A76140,Male,White,Blue
A76273,Male,White,Dark
A76278,Male,White,Dark
A76285,Male,Dark,Dark
A77022,Female,Dark,Dark
A77521,Male,Dark,Dark
A77551,Male,White,Blue
A77585,Male,White,Blue
A77600,Male,Dark,Dark
A77652,Male,Dark,Dark
A77719,Male,White,Blue
A77744,Male,White,Blue
A77854,Male,Dark,Dark
A77883,Male,White,Dark
A77912,Male,Hispanic,Dark
A77947,Male,Dark,Dark
A78002,Male,White,Hazel
A78072,Male,Dark,Dark
A78111,Male,Dark,Dark
A78128,Male,White,Blue
A78222,Male,Dark,Dark
A78301,Male,Dark,Dark
A78306,Male,White,Gray
A78488,Male,White,Blue
A78522,Male,Dark,Dark
A78639,Male,White,Hazel
A80048,Male,Dark,Dark
A80094,Male,White,Blue
A80123,Male,Dark,Dark
A80194,Male,Dark,Dark
A80196,Male,Dark,Dark
A80201,Male,Dark,Dark
A80204,Male,Dark,Dark
A80212,Male,Dark,Dark
A80215,Male,Dark,Dark
A80221,Male,Dark,Dark
A80252,Male,White,Blue
A80254,Male,White,Blue
A80264,Male,Dark,Dark
A80360,Male,Dark,Dark
A80442,Male,Dark,Dark
A80477,Male,Dark,Dark
A80517,Male,Dark,Dark
A80528,Male,Hispanic,Dark
A80529,Male,White,Dark
A80533,Male,Hispanic,Dark
A80568,Male,Dark,Dark
A80582,Male,Dark,Dark
A80609,Male,Dark,Dark
A80610,Male,Dark,Dark
A80640,Male,Dark,Dark
