ID,sex,race,eyes
A00147,Male,White,Blue
A00360,Male,White,Green
A00367,Male,Black,Brown
A01054,Male,Black,Brown
A01072,Male,Black,Brown
A01077,Male,Black,Brown
A01148,Male,Black,Brown
A01157,Male,Black,Black
A01181,Male,Black,Brown
A01237,Male,Black,Brown
A01258,Male,Black,Brown
A01285,Male,Black,Brown
A01349,Male,Black,Brown
A01356,Male,Black,Brown
A01365,Male,Black,Brown
A01399,Male,Black,Brown
A01411,Male,Black,Brown
A01422,Male,Black,Black
A01457,Male,Black,Brown
A01467,Male,Black,Brown
A01531,Male,Black,Brown
A01615,Male,Black,Brown
A01676,Male,Black,Black
A01680,Male,Black,Black
A01681,Male,Black,Brown
A01694,Male,Black,Brown
A01729,Male,Black,Brown
A01736,Male,Black,Brown
A01759,Male,Black,Brown
A01796,Male,White,Brown
A01806,Male,Black,Brown
A01815,Male,Black,Brown
A01824,Male,Black,Brown
A01834,Male,Black,Brown
A01860,Male,White,Brown
A01889,Male,Black,Brown
A01906,Male,Black,Brown
A01909,Male,Black,Brown
A01929,Male,Black,Brown
A01939,Male,Black,Brown
A01950,Male,Black,Brown
A01958,Male,Black,Brown
A01990,Male,Black,Gray
A01996,Male,Black,Brown
A02005,Male,Black,Brown
A02008,Male,Black,Brown
A02049,Male,Black,Brown
A02074,Male,Black,Brown
A02077,Male,Black,Brown
A02079,Male,Black,Brown
A02088,Male,Black,Brown
A02099,Male,Black,Brown
A02133,Male,Black,Black
A02232,Male,Black,Brown
A02244,Male,Black,Brown
A02270,Male,Black,Brown
A02306,Male,Black,Brown
A02312,Male,Black,Brown
A02350,Male,Black,Brown
A02376,Male,Black,Brown
A02436,Male,Black,Brown
A06045,Male,Black,Brown
A06264,Male,Black,Brown
A06342,Male,Black,Brown
A08064,Male,Black,Brown
A08086,Male,White,Brown
A08095,Male,Black,Brown
A08141,Male,Black,Brown
A08225,Male,White,Blue
A08230,Male,White,Blue
A08240,Male,White,Hazel
A08307,Male,White,Hazel
A10002,Male,Black,Brown
A10008,Male,Black,Brown
A10037,Male,Black,Brown
A10133,Male,White,Blue
A10157,Male,Black,Brown
A10165,Male,Black,Brown
A10203,Male,Black,Brown
A10300,Male,White,Green
A10307,Male,Black,Brown
A10309,Male,Black,Brown
A10388,Male,Black,Brown
A10397,Male,Black,Brown
A10398,Male,White,Blue
A10410,Male,Black,Brown
A10413,Male,Black,Brown
A10447,Male,White,Brown
A10459,Male,White,Brown
A10465,Male,White,Brown
A10480,Male,Black,Brown
A10487,Male,White,Blue
A10506,Male,Black,Brown
A10508,Male,Black,Brown
A10510,Male,Black,Brown
A10514,Male,Black,Brown
A10574,Male,White,Blue
A10582,Male,Black,Brown
A10628,Male,White,Brown
A10654,Male,White,Brown
A10656,Male,White,Brown
A10695,Male,Black,Brown
A10763,Male,Black,Brown
A10859,Male,White,Gray
A10883,Male,Black,Brown
A10913,Male,Black,Brown
A10935,Male,White,Brown
A10936,Male,Black,Brown
A10938,Male,Black,Brown
A10939,Male,Black,Brown
A10940,Male,Black,Brown
A10951,Male,Black,Brown
A10970,Male,Black,Black
A11005,Male,Black,Brown
A11030,Male,White,Green
A11128,Male,White,Brown
A15031,Male,Black,Brown
A15096,Male,Black,Brown
A15110,Male,Black,Brown
A15155,Male,Black,Brown
A15167,Male,Black,Brown
A15172,Male,Black,Brown
A15182,Male,Black,Brown
A15205,Male,Black,Brown
A15210,Male,Hispanic,Brown
A15211,Male,Black,Brown
A15212,Male,White,Brown
A15243,Male,Black,Brown
A15306,Male,Black,Brown
A15324,Male,Black,Brown
A15336,Male,Black,Brown
A15347,Male,Black,Brown
A15380,Male,Black,Brown
A15385,Male,Black,Brown
A15421,Male,Black,Brown
A15423,Male,Black,Brown
A15491,Male,Black,Brown
A15497,Male,Black,Brown
A15561,Male,Black,Brown
A15580,Male,Black,Brown
A15590,Male,Black,Brown
A15602,Male,Black,Brown
A15612,Male,Black,Brown
A15639,Male,White,Brown
A15644,Male,Black,Brown
A15655,Male,Black,Brown
A15657,Male,White,Hazel
A15702,Male,Black,Brown
A15776,Male,Black,Black
A15810,Male,Black,Brown
A15828,Male,Black,Brown
A15829,Male,Black,Brown
A15834,Male,Black,Brown
A15856,Male,White,Blue
A20093,Male,Black,Brown
A20097,Male,Black,Brown
A25050,Male,Black,Brown
A25088,Male,Black,Brown
A25100,Male,Black,Brown
A25160,Male,Black,Brown
A25186,Male,Black,Brown
A25193,Male,White,Blue
A26050,Female,Black,Brown
A50005,Male,Black,Brown
A50013,Male,Black,Brown
A50089,Male,Black,Brown
A50119,Male,Black,Brown
A50173,Male,Black,Brown
A50191,Male,White,Brown
A50207,Male,White,Hazel
A50229,Male,White,Hazel
A50273,Male,Hispanic,Brown
A50321,Male,Black,Brown
A50324,Male,Black,Brown
A50330,Male,Black,Black
A50367,Male,White,Green
A50446,Male,Black,Brown
A50517,Male,Black,Maroon
A50585,Male,Black,Brown
A50669,Male,Black,Brown
A50676,Male,Black,Brown
A50692,Male,White,Blue
A50716,Male,Black,Black
A50773,Male,Black,Brown
A50779,Male,Black,Brown
A50844,Male,Black,Brown
A50947,Male,Black,Brown
A50955,Male,Black,Brown
A50993,Male,Black,Brown
A51054,Male,Black,Brown
A51082,Male,Black,Brown
A51149,Male,White,Blue
A51174,Male,Black,Brown
A51196,Male,White,Brown
A51233,Male,Hispanic,Brown
A51236,Male,Black,Brown
A51240,Male,Black,Brown
A51322,Male,Black,Brown
A51344,Male,Black,Brown
A51368,Male,Black,Brown
A51372,Male,Black,Brown
A51378,Male,Black,Brown
A56009,Male,White,Brown
A56059,Male,White,Blue
A56081,Male,Black,Brown
A56106,Male,White,Blue
A56131,Male,White,Blue
A56136,Male,White,Blue
A57708,Male,Black,Brown
A57711,Male,Black,Brown
A57980,Male,Black,Brown
A60034,Male,Black,Brown
A60077,Male,Black,Brown
A60096,Male,Black,Brown
A60121,Male,Black,Brown
A60138,Male,Black,Brown
A60145,Male,Black,Brown
A60152,Male,Black,Brown
A60158,Male,Black,Brown
A60166,Male,Black,Brown
A60185,Male,White,Hazel
A60203,Male,Black,Brown
A60218,Male,White,Brown
A60224,Male,White,Brown
A60247,Male,Black,Brown
A60264,Male,Black,Brown
A60269,Male,Black,Brown
A60334,Male,Black,Brown
A60338,Male,Black,Brown
A60349,Male,Black,Brown
A60369,Male,Black,Brown
A60441,Male,Black,Brown
A60451,Male,Black,Brown
A60478,Male,Hispanic,Brown
A60491,Male,White,Hazel
A60514,Male,Black,Brown
A60700,Male,Black,Brown
A60767,Male,White,Brown
A60810,Male,Black,Brown
A60835,Male,Black,Brown
A60862,Male,White,Brown
A60879,Male,Black,Brown
A60881,Male,Black,Brown
A60925,Male,Black,Brown
A60952,Male,Black,Brown
A60972,Male,Black,Brown
A61010,Male,Black,Black
A61038,Male,Black,Brown
A61070,Male,White,Brown
A61104,Male,White,Green
A61136,Male,White,Brown
A61175,Male,Hispanic,Black
A61187,Male,Black,Brown
A61191,Male,White,Blue
A61248,Male,Black,Brown
A61254,Male,Black,Black
A61270,Male,Black,Brown
A61441,Male,Black,Brown
A61492,Male,Black,Black
A61541,Male,Black,Brown
A61543,Male,Black,Brown
A61589,Male,White,Brown
A61629,Male,Black,Brown
A61667,Male,Black,Brown
A61683,Male,Black,Brown
A61697,Male,Black,Brown
A61719,Male,Black,Brown
A61721,Male,Black,Brown
A61897,Male,Black,Brown
A61982,Male,Black,Brown
A62093,Male,Black,Brown
A62143,Male,Black,Brown
A62145,Male,Black,Brown
A62152,Male,Black,Brown
A62183,Male,White,Blue
A62222,Male,Black,Brown
A62260,Male,White,Brown
A62278,Male,Black,Brown
A62372,Male,Black,Brown
A62475,Male,Black,Brown
A62508,Male,Black,Brown
A62511,Male,Black,Brown
A62585,Male,Black,Brown
A62613,Male,Black,Brown
A62670,Male,Black,Brown
A62674,Male,Black,Brown
A62676,Male,Black,Brown
A62696,Male,Black,Brown
A62709,Male,Black,Brown
A62835,Male,White,Green
A62838,Male,White,Hazel
A62907,Male,White,Blue
A63018,Male,Black,Brown
A63055,Male,White,Green
A63057,Male,Black,Brown
A63074,Male,Black,Brown
A63079,Male,Black,Brown
A63110,Male,Black,Brown
A63227,Male,Black,Brown
A63302,Male,Black,Brown
A63323,Male,Black,Brown
A63335,Male,Black,Brown
A63412,Male,Black,Brown
A63416,Male,Black,Brown
A63465,Male,Black,Brown
A63522,Male,Black,Brown
A63557,Male,Black,Brown
A63589,Male,Black,Brown
A63633,Male,Black,Brown
A63684,Male,Black,Brown
A63742,Male,Black,Brown
A63871,Male,Black,Brown
A63882,Male,Black,Brown
A63900,Male,Black,Brown
A63927,Male,Black,Brown
A64002,Male,Black,Brown
A64004,Male,Black,Brown
A64023,Male,Black,Brown
A64030,Male,Hispanic,Brown
A64086,Male,Black,Brown
A64188,Male,Black,Brown
A64206,Male,Black,Brown
A64229,Male,Black,Brown
A64235,Male,Black,Brown
A64246,Male,Black,Brown
A64284,Male,Black,Brown
A64313,Male,Black,Brown
A64333,Male,Black,Brown
A64349,Male,Black,Brown
A64363,Male,Black,Brown
A66045,Male,Black,Brown
A66171,Male,Black,Brown
A66229,Male,White,Blue
A66267,Male,Black,Brown
A66271,Male,White,Hazel
A66320,Male,White,Hazel
A66400,Male,White,Green
A66460,Male,Black,Brown
A66464,Male,Black,Brown
A66488,Male,White,Blue
A66507,Male,Black,Brown
A67856,Male,White,Brown
A67942,Male,White,Green
A68069,Male,Black,Brown
A68106,Male,Black,Brown
A68230,Male,Black,Black
A68344,Male,Black,Brown
A68363,Male,White,Brown
A68398,Male,Black,Brown
A68418,Male,White,Blue
A68566,Male,White,Green
A68643,Male,Black,Brown
A68647,Male,White,Green
A68718,Male,Black,Brown
A68728,Male,White,Brown
A68809,Male,White,Brown
A68864,Male,Black,Brown
A68998,Male,White,Brown
A69036,Male,Black,Brown
A69051,Male,White,Brown
A69085,Male,Black,Brown
A70164,Male,Black,Brown
A70170,Male,Black,Brown
A70187,Male,Black,Brown
A70206,Male,Black,Brown
A70208,Male,Black,Brown
A70223,Male,White,Blue
A70269,Male,Black,Brown
A70296,Male,White,Blue
A70343,Male,Black,Brown
A70453,Male,Black,Green
A70454,Male,Black,Brown
A70470,Male,Black,Brown
A70481,Male,Black,Brown
A70554,Male,Black,Brown
A70562,Male,Black,Brown
A70571,Male,Black,Brown
A70618,Male,Black,Brown
A70631,Male,Black,Brown
A70646,Male,Black,Brown
A70703,Male,Black,Brown
A70723,Male,Black,Brown
A70764,Male,Black,Brown
A70777,Male,White,Brown
A70866,Male,Black,Brown
A70869,Male,White,Blue
A70889,Male,Black,Brown
A70902,Male,Black,Brown
A70905,Male,Black,Brown
A70975,Male,Black,Brown
A70978,Male,Black,Brown
A70983,Male,Black,Brown
A70990,Male,Black,Brown
A70998,Male,Black,Brown
A71033,Male,Black,Brown
A71068,Male,Black,Brown
A71082,Male,Black,Brown
A71170,Male,Black,Brown
A71250,Male,White,Brown
A71259,Male,Black,Brown
A71264,Male,Black,Brown
A71350,Male,Black,Brown
A71362,Male,Black,Brown
A71429,Male,Black,Brown
A71437,Male,Black,Brown
A71467,Male,Black,Brown
A71517,Male,Black,Brown
A71530,Male,Black,Brown
A71537,Male,Black,Brown
A71641,Male,Black,Brown
A71662,Male,Black,Brown
A71709,Male,Black,Brown
A71724,Male,Black,Brown
A71739,Male,Black,Brown
A71810,Male,Black,Brown
A71812,Male,Black,Brown
A71818,Male,White,Brown
A71904,Male,Black,Brown
A71978,Male,Black,Brown
A72030,Male,Black,Brown
A72037,Male,Black,Brown
A72063,Male,Black,Brown
A72077,Male,Black,Brown
A72086,Male,Black,Brown
A72098,Male,Black,Brown
A72103,Male,Black,Brown
A72120,Male,Black,Brown
A72149,Male,Black,Brown
A72159,Male,Black,Brown
A72194,Male,Black,Brown
A72308,Male,Black,Brown
A72335,Male,Black,Brown
A72502,Male,Black,Brown
A72503,Male,Black,Brown
A72531,Male,Hispanic,Brown
A72590,Male,Black,Brown
A72640,Male,Black,Brown
A72649,Male,Black,Brown
A72655,Male,Black,Brown
A72676,Male,Black,Brown
A72823,Male,Black,Brown
A72830,Male,Black,Brown
A72922,Male,Black,Brown
A72965,Male,Black,Brown
A73023,Male,Black,Brown
A73059,Male,Black,Brown
A73078,Male,Black,Brown
A73099,Male,Black,Brown
A73184,Male,Black,Brown
A73193,Male,Black,Brown
A73327,Male,Black,Brown
A73335,Male,Black,Brown
A73403,Male,Black,Brown
A73437,Male,Black,Brown
A73452,Male,White,Hazel
A73489,Male,Black,Brown
A73498,Male,Black,Brown
A73504,Male,Black,Brown
A73555,Male,White,Blue
A73587,Male,Black,Brown
A73626,Male,White,Blue
A73639,Male,White,Hazel
A73673,Male,Black,Brown
A73679,Male,White,Brown
A73734,Male,White,Blue
A73738,Male,Black,Brown
A73756,Male,White,Blue
A73764,Male,Black,Brown
A73769,Male,White,Brown
A73818,Male,Black,Brown
A73846,Male,White,Blue
A73865,Male,Black,Brown
A73943,Male,White,Hazel
A74022,Male,Hispanic,Brown
A74048,Male,Black,Brown
A74099,Male,Black,Brown
A74128,Male,Black,Brown
A74131,Male,Black,Brown
A74143,Male,Black,Brown
A74146,Male,Black,Brown
A74207,Male,Black,Brown
A74220,Male,White,Blue
A76000,Male,White,Blue
A76082,Male,Black,Brown
A76086,Male,Black,Brown
A76117,Male,Black,Brown
A76118,Male,Black,Brown
A76140,Male,White,Blue
A76273,Male,White,Brown
A76278,Male,White,Brown
A76285,Male,Black,Brown
A77022,Female,Black,Brown
A77521,Male,Black,Brown
A77551,Male,White,Blue
A77585,Male,White,Blue
A77600,Male,Black,Brown
A77652,Male,Black,Brown
A77719,Male,White,Blue
A77744,Male,White,Blue
A77854,Male,Black,Brown
A77883,Male,White,Brown
A77912,Male,Hispanic,Brown
A77947,Male,Black,Brown
A78002,Male,White,Hazel
A78072,Male,Black,Brown
A78111,Male,Black,Brown
A78128,Male,White,Blue
A78222,Male,Black,Brown
A78301,Male,Black,Brown
A78306,Male,White,Gray
A78488,Male,White,Blue
A78522,Male,Black,Brown
A78639,Male,White,Hazel
A80048,Male,Black,Brown
A80094,Male,White,Blue
A80123,Male,Black,Brown
A80194,Male,Black,Brown
A80196,Male,Black,Brown
A80201,Male,Black,Brown
A80204,Male,Black,Brown
A80212,Male,Black,Brown
A80215,Male,Black,Brown
A80221,Male,Black,Brown
A80252,Male,White,Blue
A80254,Male,White,Blue
A80264,Male,Black,Brown
A80360,Male,Black,Brown
A80442,Male,Black,Brown
A80477,Male,Black,Brown
A80517,Male,Black,Brown
A80528,Male,Hispanic,Brown
A80529,Male,White,Brown
A80533,Male,Hispanic,Brown
A80568,Male,Black,Brown
A80582,Male,Black,Brown
A80609,Male,Black,Brown
A80610,Male,Black,Brown
A80640,Male,Black,Brown
A80665,Male,Black,Brown
A80675,Male,Black,Brown
A80693,Male,Black,Brown
A80710,Male,White,Blue
A80761,Male,Black,Brown
A80811,Male,Black,Brown
A80814,Male,Black,Brown
A80834,Male,Black,Brown
A80915,Male,Black,Brown
A80929,Male,White,Brown
A81024,Male,Black,Brown
A81091,Male,Black,Black
A81099,Male,Black,Brown
A81100,Male,Black,Brown
A81126,Male,White,Brown
A81135,Male,Black,Brown
A81170,Male,Black,Brown
A81377,Male,Black,Brown
A81381,Male,Black,Brown
A81401,Male,Black,Brown
A81442,Male,Black,Brown
A81444,Male,Black,Brown
A81457,Male,White,Brown
A81553,Male,Black,Brown
A81563,Male,Black,Brown
A81574,Male,White,Blue
A81630,Male,White,Brown
A81636,Male,Black,Brown
A81652,Male,Black,Brown
A81692,Male,Black,Brown
A81704,Male,Black,Brown
